,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5871,268682,3966,377947,5913,266331,79284,1,45115842,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,5874,268025,4016,372204,5915,266307,16343,1,4460221,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,5781,271402,4001,373971,5918,266030,9139,1,5009048,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,5782,270661,3985,376606,5914,266300,8952,1,5314336,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,5873,268000,3990,375669,5913,266353,31998,1,5643685,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,5873,267879,4008,373010,5914,266358,32143,1,4558932,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,5781,270586,4001,374306,5910,266581,45298,1,5037908,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,5872,268213,3989,376577,5912,266359,33174,1,5413664,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,5871,267652,4011,373676,5912,266504,9648,1,4422164,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,5778,271287,4009,373276,5916,266140,33449,1,4706483,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,6130,257380,4780,313618,6174,254910,82104,1,11484785,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,6023,260708,4777,313893,6174,254887,8336,1,5114668,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,6022,260695,4764,314676,6177,254835,8706,1,4279505,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,6131,257356,4773,313806,6173,255313,8056,1,5457000,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,6022,260098,4770,314540,6171,255152,32915,1,5412697,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,6145,257109,4718,317623,6172,255314,257308,1,6289053,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,6145,256944,4725,316895,6171,255144,37334,1,4909034,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,6145,256941,4723,316723,6172,255492,35835,1,5251556,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,6145,257032,4722,316477,6170,255462,10045,1,4086285,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,6145,257031,4724,316190,6172,255360,37747,1,4400152,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,5886,267038,4255,351484,5842,269504,81075,1,9769324,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,5881,267641,4250,352109,5814,270848,9907,1,4071746,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,5884,267221,4243,352397,5855,268871,9051,1,5088969,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,5881,267188,4257,351215,5852,269256,31647,1,4791335,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
4,5881,267246,4260,351080,5834,269853,9081,1,4763739,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
5,5886,267176,4254,351349,5797,271585,32671,1,5216935,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
6,5886,267219,4252,351873,5833,269870,30880,1,5105082,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
7,5886,267184,4262,351004,5837,269609,32458,1,5440208,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
8,5882,267342,4252,351586,5852,268907,31477,1,4701651,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
9,5887,267183,4245,351543,5836,269831,9570,1,5383315,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
0,6344,248658,7218,207274,27065,57881,201359,1,9389117,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
1,6338,248707,7224,207500,27112,57829,189989,1,4803443,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
2,6342,248606,7220,207585,27174,57635,189579,1,5203872,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
3,6342,248611,7201,208226,27097,57838,189642,1,4754899,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
4,6339,248746,7229,207459,27183,57673,185353,1,6157540,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
5,6339,248609,7212,207912,27158,57663,185156,1,4477033,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
6,6341,248572,7228,207421,27151,57726,197622,1,5040846,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
7,6342,248761,7193,208460,27092,57867,199556,1,5699091,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
8,6339,248757,7212,207789,27001,58069,188156,1,5387770,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
9,6339,248593,7227,206279,27205,57568,182992,1,5150639,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
0,6487,242751,4902,305246,7976,197069,152697,1,11096978,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
1,6454,243728,4905,305616,7987,196742,133039,1,4826503,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
2,6337,247966,4920,304738,7951,197688,283112,1,5072344,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
3,6454,243772,4905,305488,7977,197026,143420,1,4946548,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
4,6347,247619,4904,305616,7979,196947,253876,1,5006250,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
5,6467,243382,4918,304814,7957,197640,267556,1,4065256,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
6,6409,245148,4901,305475,7987,196913,316184,1,4119283,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
7,6471,242948,4907,305622,7956,197713,347156,1,4548165,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
8,6373,246969,4902,305916,7951,197611,335891,1,4216010,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
9,6445,243937,4915,305036,7973,197002,139935,1,4060899,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
0,8701,180768,4630,323802,8440,186311,94353,1,11432545,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
1,8685,180959,4628,324052,8467,185934,31961,1,4659384,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
2,8698,180773,4712,318023,8442,186475,51387,1,4845484,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
3,8698,180746,4663,321994,8465,185681,240024,1,5234399,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
4,8688,180995,4657,322086,8455,185883,36111,1,5002178,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
5,8697,180723,4646,322796,8470,185595,9631,1,4326295,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
6,8689,180947,4653,322100,8456,185901,9076,1,4564515,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
7,8697,180732,4651,322781,8463,185712,33810,1,6102683,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
8,8666,181405,4666,321605,8462,185959,36078,1,5736824,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
9,8663,181464,4657,322383,8444,186132,33114,1,5865895,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
0,8305,188784,27015,55507,100071,10000,294359,1,12393149,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
1,8318,188996,27047,55484,100017,10000,285975,1,5840384,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
2,8303,189325,26760,56050,104223,15008,286032,1,5361131,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
3,8320,188932,26992,55562,100062,10000,275705,1,4862708,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
4,8297,189417,26964,55629,104250,15013,290175,1,4429131,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
5,8308,189137,26727,56093,104180,15025,277827,1,5490264,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
6,8321,188904,26963,55626,104165,15019,279956,1,5085382,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
7,8317,188993,26961,55639,104276,15003,280342,1,4654025,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
8,8323,188849,26748,56098,104283,15005,279617,1,5630802,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
9,8315,189060,26585,56414,104264,15007,277911,1,6748734,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
0,10270,152297,6761,221795,24507,63956,256920,1,13252971,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
1,10276,152783,6802,220390,24555,63869,244677,1,6338187,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
2,10285,152635,6798,220543,24664,63536,248855,1,6599647,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
3,10284,152630,6779,221219,24866,63009,238306,1,7628690,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
4,10296,152451,6869,218370,24812,63172,240259,1,6748361,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
5,10281,152712,6801,220723,24512,63915,238991,1,7828258,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
6,10277,152806,6801,220407,24798,63180,238171,1,7742291,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
7,10277,152787,6835,219351,24719,63363,242478,1,6669343,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
8,10266,152928,6793,220686,24672,63535,237723,1,6772227,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
9,10281,152742,6850,218846,24726,63360,234497,1,6274123,1,256,10,fft,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
0,10851,144478,4918,304852,10374,151537,200295,1,20099370,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
1,10829,144938,4914,305253,10408,150939,187398,1,5183740,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
2,10834,144918,4905,305667,10380,151614,332109,1,4311088,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
3,10851,144663,4907,305539,10377,151255,187798,1,4887256,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
4,10823,144998,4901,306024,10368,151617,175464,1,4924665,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
5,10825,145033,4907,305896,10386,151211,257470,1,4843014,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
6,10815,145187,4915,304840,10384,151558,188997,1,4217943,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
7,10835,144874,4919,304935,10386,151361,185412,1,4967227,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
8,10834,144859,4916,305405,10376,151591,212900,1,4841278,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
9,10830,144960,4923,305424,10406,150779,191426,1,4856491,1,256,10,fft,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
0,23886,65542,134525,10000,382796,10000,472755,1,11199050,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
1,23894,65554,134362,10000,382705,10000,430523,1,5954620,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
2,23878,65575,135197,10000,382493,10000,435415,1,6326909,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
3,23897,65573,134287,10000,382769,10000,435665,1,5941367,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
4,23879,65612,135255,10000,382647,10000,438043,1,6501552,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
5,23884,65611,134686,10000,382732,10000,440764,1,6416691,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
6,23873,65657,135786,10000,382384,10000,440522,1,6317768,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
7,23885,65613,134269,10000,382830,10000,438486,1,6229754,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
8,23874,65607,135798,10000,382952,10000,440078,1,5852397,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
9,23890,65582,135421,10000,382927,10000,437844,1,7027543,1,256,10,fft,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
0,24540,63765,42981,34897,111001,10000,304883,1,10963209,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
1,24537,63844,42774,35076,112559,10000,295344,1,5707518,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
2,24532,63863,42770,35074,112168,10000,281748,1,5740010,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
3,24539,63842,42902,34958,111911,10000,280387,1,4975290,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
4,24537,63852,42742,35094,112653,10000,294548,1,5343937,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
5,24527,63880,42852,34990,112292,10000,284673,1,7287628,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
6,24540,63830,42681,35146,112141,10000,295112,1,6919503,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
7,24535,63852,43006,34880,112352,10000,282787,1,6392935,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
8,24536,63847,42738,35096,111727,10000,285335,1,6486126,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
9,24531,63861,42807,35040,112594,10000,281050,1,6767757,1,256,10,fft,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
0,26635,58713,16742,89573,26009,60228,251300,1,9899439,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
1,26648,58796,16732,89660,25947,60425,249208,1,5974733,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
2,26650,58779,16769,89415,25955,60390,243592,1,6397212,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
3,26662,58752,16778,89374,25994,60206,234408,1,6080782,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
4,26655,58765,16671,89996,26127,59999,234011,1,5327116,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
5,26665,58732,16749,89592,25998,60297,240621,1,5898069,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
6,26656,58770,16783,89393,26000,60280,239908,1,6126598,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
7,26648,58789,16708,89780,25944,60388,238991,1,5907155,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
8,26656,58767,16740,89610,25973,60323,239507,1,6351268,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
9,26647,58793,16738,89631,26027,60219,235144,1,5098709,1,256,10,fft,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
0,116655,10000,896970,1673,1771758,10000,757501,1,13187844,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
1,116793,10000,896319,1674,1772031,10000,948173,1,8483869,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
2,116838,10000,896442,1674,1773726,10000,930955,1,8476254,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
3,116840,10000,896488,1673,1776253,10000,935294,1,9854432,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
4,116933,10000,896581,1673,1776359,10000,936937,1,8031756,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
5,116876,10000,896542,1673,1781019,10000,950717,1,8194251,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
6,116807,10000,897040,1673,1781331,10000,922138,1,8840522,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
7,116740,10000,896591,1673,1783340,10000,940515,1,8018517,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
8,116748,10000,896345,1674,1784989,10000,978912,1,8033459,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
9,116708,10000,896572,1673,1785001,10000,933548,1,8844895,1,256,10,fft,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
0,113840,10000,240048,6254,388055,10000,454210,1,11418355,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
1,113732,10000,240462,6236,388779,10000,473965,1,6493757,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
2,113638,10000,240293,6238,387984,10000,456550,1,6378056,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
3,113774,10000,240242,6239,389560,10000,471367,1,5972363,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
4,113686,10000,240414,6237,388227,10000,462074,1,6416453,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
5,113534,10000,241149,6217,386757,10000,464913,1,7712017,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
6,113836,10000,240823,6225,387946,10000,461241,1,6950581,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
7,113772,10000,239684,6251,387923,10000,458559,1,7629832,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
8,113555,10000,240114,6242,388042,10000,476296,1,7002227,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
9,113705,10000,240293,6242,387669,10000,476876,1,7777396,1,256,10,fft,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
0,397688,10000,3989542,376,5856334,10000,1891243,1,12499775,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
1,399912,10000,3988257,377,5854847,10000,1885611,1,12619323,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
2,400015,10000,3986529,377,5857740,10000,2818586,1,9856720,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
3,397885,10000,3985117,377,5863706,10000,1942556,1,8057784,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
4,399934,10000,3993823,376,5859128,10000,1882604,1,9213903,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
5,399986,10000,3991976,376,5857490,10000,2841052,1,7958186,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
6,399910,10000,3986567,377,5856795,10000,2843256,1,9078136,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
7,399934,10000,3988178,377,5862006,10000,2829954,1,7161380,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
8,400011,10000,3992287,376,5860562,10000,2862578,1,8721745,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
9,399930,10000,3989697,376,5857088,10000,2809964,1,7624445,1,256,10,fft,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
